taskId,label,o_Efficiency,o_Mass flow,c_Design,o_Pressure ratio,c_Speed,c_Factor Name,c_Factor Value,o_fakePressure,s_rotor1,s_rotor2,s_rotor3,s_stator1,s_stator2,s_stator3,c2d_rotor1_exit,c2d_rotor2_exit,c2d_rotor3_exit,c2d_stator1_exit,c2d_stator2_exit,c2d_stator3_exit
.\data\task_0,Design A 100% p2_140000,83.14588,51.75308,Design A,1.709583,1,DA,0.96,170958.3,.\data\comp3stg\task_0\rotor1\Mis_line1d_mid_rotor1_task_0.json,.\data\comp3stg\task_0\rotor2\Mis_line1d_mid_rotor2_task_0.json,.\data\comp3stg\task_0\rotor3\Mis_line1d_mid_rotor3_task_0.json,.\data\comp3stg\task_0\stator1\Mis_line1d_mid_stator1_task_0.json,.\data\comp3stg\task_0\stator2\Mis_line1d_mid_stator2_task_0.json,.\data\comp3stg\task_0\stator3\Mis_line1d_mid_stator3_task_0.json,.\data\comp3stg\task_0\rotor1\ent_area2d_exit_rotor1_task_0.json,.\data\comp3stg\task_0\rotor2\ent_area2d_exit_rotor2_task_0.json,.\data\comp3stg\task_0\rotor3\ent_area2d_exit_rotor3_task_0.json,.\data\comp3stg\task_0\stator1\ent_area2d_exit_stator1_task_0.json,.\data\comp3stg\task_0\stator2\ent_area2d_exit_stator2_task_0.json,.\data\comp3stg\task_0\stator3\ent_area2d_exit_stator3_task_0.json
.\data\task_1,Design A 100% p2_150000,86.79959,51.73464,Design A,1.78694,1,GAC,1,178694,.\data\comp3stg\task_1\rotor1\Mis_line1d_mid_rotor1_task_1.json,.\data\comp3stg\task_1\rotor2\Mis_line1d_mid_rotor2_task_1.json,.\data\comp3stg\task_1\rotor3\Mis_line1d_mid_rotor3_task_1.json,.\data\comp3stg\task_1\stator1\Mis_line1d_mid_stator1_task_1.json,.\data\comp3stg\task_1\stator2\Mis_line1d_mid_stator2_task_1.json,.\data\comp3stg\task_1\stator3\Mis_line1d_mid_stator3_task_1.json,.\data\comp3stg\task_1\rotor1\ent_area2d_exit_rotor1_task_1.json,.\data\comp3stg\task_1\rotor2\ent_area2d_exit_rotor2_task_1.json,.\data\comp3stg\task_1\rotor3\ent_area2d_exit_rotor3_task_1.json,.\data\comp3stg\task_1\stator1\ent_area2d_exit_stator1_task_1.json,.\data\comp3stg\task_1\stator2\ent_area2d_exit_stator2_task_1.json,.\data\comp3stg\task_1\stator3\ent_area2d_exit_stator3_task_1.json
.\data\task_2,Design A 100% p2_160000,90.1798,51.50609,Design A,1.866424,1,DA,1.04,186642.4,.\data\comp3stg\task_2\rotor1\Mis_line1d_mid_rotor1_task_2.json,.\data\comp3stg\task_2\rotor2\Mis_line1d_mid_rotor2_task_2.json,.\data\comp3stg\task_2\rotor3\Mis_line1d_mid_rotor3_task_2.json,.\data\comp3stg\task_2\stator1\Mis_line1d_mid_stator1_task_2.json,.\data\comp3stg\task_2\stator2\Mis_line1d_mid_stator2_task_2.json,.\data\comp3stg\task_2\stator3\Mis_line1d_mid_stator3_task_2.json,.\data\comp3stg\task_2\rotor1\ent_area2d_exit_rotor1_task_2.json,.\data\comp3stg\task_2\rotor2\ent_area2d_exit_rotor2_task_2.json,.\data\comp3stg\task_2\rotor3\ent_area2d_exit_rotor3_task_2.json,.\data\comp3stg\task_2\stator1\ent_area2d_exit_stator1_task_2.json,.\data\comp3stg\task_2\stator2\ent_area2d_exit_stator2_task_2.json,.\data\comp3stg\task_2\stator3\ent_area2d_exit_stator3_task_2.json
.\data\task_3,Design A 100% p2_170000,91.62632,50.80947,Design A,1.946122,1,GAC,0.96,194612.2,.\data\comp3stg\task_3\rotor1\Mis_line1d_mid_rotor1_task_3.json,.\data\comp3stg\task_3\rotor2\Mis_line1d_mid_rotor2_task_3.json,.\data\comp3stg\task_3\rotor3\Mis_line1d_mid_rotor3_task_3.json,.\data\comp3stg\task_3\stator1\Mis_line1d_mid_stator1_task_3.json,.\data\comp3stg\task_3\stator2\Mis_line1d_mid_stator2_task_3.json,.\data\comp3stg\task_3\stator3\Mis_line1d_mid_stator3_task_3.json,.\data\comp3stg\task_3\rotor1\ent_area2d_exit_rotor1_task_3.json,.\data\comp3stg\task_3\rotor2\ent_area2d_exit_rotor2_task_3.json,.\data\comp3stg\task_3\rotor3\ent_area2d_exit_rotor3_task_3.json,.\data\comp3stg\task_3\stator1\ent_area2d_exit_stator1_task_3.json,.\data\comp3stg\task_3\stator2\ent_area2d_exit_stator2_task_3.json,.\data\comp3stg\task_3\stator3\ent_area2d_exit_stator3_task_3.json
.\data\task_4,Design A 100% p2_180000,92.43139,49.77055,Design A,2.025783,1,DA,1,202578.3,.\data\comp3stg\task_4\rotor1\Mis_line1d_mid_rotor1_task_4.json,.\data\comp3stg\task_4\rotor2\Mis_line1d_mid_rotor2_task_4.json,.\data\comp3stg\task_4\rotor3\Mis_line1d_mid_rotor3_task_4.json,.\data\comp3stg\task_4\stator1\Mis_line1d_mid_stator1_task_4.json,.\data\comp3stg\task_4\stator2\Mis_line1d_mid_stator2_task_4.json,.\data\comp3stg\task_4\stator3\Mis_line1d_mid_stator3_task_4.json,.\data\comp3stg\task_4\rotor1\ent_area2d_exit_rotor1_task_4.json,.\data\comp3stg\task_4\rotor2\ent_area2d_exit_rotor2_task_4.json,.\data\comp3stg\task_4\rotor3\ent_area2d_exit_rotor3_task_4.json,.\data\comp3stg\task_4\stator1\ent_area2d_exit_stator1_task_4.json,.\data\comp3stg\task_4\stator2\ent_area2d_exit_stator2_task_4.json,.\data\comp3stg\task_4\stator3\ent_area2d_exit_stator3_task_4.json
.\data\task_5,Design A 100% p2_190000,93.04564,48.54064,Design A,2.10606,1,GAC,1.04,210606,.\data\comp3stg\task_5\rotor1\Mis_line1d_mid_rotor1_task_5.json,.\data\comp3stg\task_5\rotor2\Mis_line1d_mid_rotor2_task_5.json,.\data\comp3stg\task_5\rotor3\Mis_line1d_mid_rotor3_task_5.json,.\data\comp3stg\task_5\stator1\Mis_line1d_mid_stator1_task_5.json,.\data\comp3stg\task_5\stator2\Mis_line1d_mid_stator2_task_5.json,.\data\comp3stg\task_5\stator3\Mis_line1d_mid_stator3_task_5.json,.\data\comp3stg\task_5\rotor1\ent_area2d_exit_rotor1_task_5.json,.\data\comp3stg\task_5\rotor2\ent_area2d_exit_rotor2_task_5.json,.\data\comp3stg\task_5\rotor3\ent_area2d_exit_rotor3_task_5.json,.\data\comp3stg\task_5\stator1\ent_area2d_exit_stator1_task_5.json,.\data\comp3stg\task_5\stator2\ent_area2d_exit_stator2_task_5.json,.\data\comp3stg\task_5\stator3\ent_area2d_exit_stator3_task_5.json
.\data\task_6,Design A 90% p2_110000,74.66512,46.74413,Design A,1.440866,0.9,DA,0.96,144086.6,.\data\comp3stg\task_6\rotor1\Mis_line1d_mid_rotor1_task_6.json,.\data\comp3stg\task_6\rotor2\Mis_line1d_mid_rotor2_task_6.json,.\data\comp3stg\task_6\rotor3\Mis_line1d_mid_rotor3_task_6.json,.\data\comp3stg\task_6\stator1\Mis_line1d_mid_stator1_task_6.json,.\data\comp3stg\task_6\stator2\Mis_line1d_mid_stator2_task_6.json,.\data\comp3stg\task_6\stator3\Mis_line1d_mid_stator3_task_6.json,.\data\comp3stg\task_6\rotor1\ent_area2d_exit_rotor1_task_6.json,.\data\comp3stg\task_6\rotor2\ent_area2d_exit_rotor2_task_6.json,.\data\comp3stg\task_6\rotor3\ent_area2d_exit_rotor3_task_6.json,.\data\comp3stg\task_6\stator1\ent_area2d_exit_stator1_task_6.json,.\data\comp3stg\task_6\stator2\ent_area2d_exit_stator2_task_6.json,.\data\comp3stg\task_6\stator3\ent_area2d_exit_stator3_task_6.json
.\data\task_7,Design A 90% p2_120000,79.6739,46.71741,Design A,1.496172,0.9,GAC,1,149617.2,.\data\comp3stg\task_7\rotor1\Mis_line1d_mid_rotor1_task_7.json,.\data\comp3stg\task_7\rotor2\Mis_line1d_mid_rotor2_task_7.json,.\data\comp3stg\task_7\rotor3\Mis_line1d_mid_rotor3_task_7.json,.\data\comp3stg\task_7\stator1\Mis_line1d_mid_stator1_task_7.json,.\data\comp3stg\task_7\stator2\Mis_line1d_mid_stator2_task_7.json,.\data\comp3stg\task_7\stator3\Mis_line1d_mid_stator3_task_7.json,.\data\comp3stg\task_7\rotor1\ent_area2d_exit_rotor1_task_7.json,.\data\comp3stg\task_7\rotor2\ent_area2d_exit_rotor2_task_7.json,.\data\comp3stg\task_7\rotor3\ent_area2d_exit_rotor3_task_7.json,.\data\comp3stg\task_7\stator1\ent_area2d_exit_stator1_task_7.json,.\data\comp3stg\task_7\stator2\ent_area2d_exit_stator2_task_7.json,.\data\comp3stg\task_7\stator3\ent_area2d_exit_stator3_task_7.json
.\data\task_8,Design A 90% p2_130000,85.14943,46.67273,Design A,1.561536,0.9,DA,1.04,156153.6,.\data\comp3stg\task_8\rotor1\Mis_line1d_mid_rotor1_task_8.json,.\data\comp3stg\task_8\rotor2\Mis_line1d_mid_rotor2_task_8.json,.\data\comp3stg\task_8\rotor3\Mis_line1d_mid_rotor3_task_8.json,.\data\comp3stg\task_8\stator1\Mis_line1d_mid_stator1_task_8.json,.\data\comp3stg\task_8\stator2\Mis_line1d_mid_stator2_task_8.json,.\data\comp3stg\task_8\stator3\Mis_line1d_mid_stator3_task_8.json,.\data\comp3stg\task_8\rotor1\ent_area2d_exit_rotor1_task_8.json,.\data\comp3stg\task_8\rotor2\ent_area2d_exit_rotor2_task_8.json,.\data\comp3stg\task_8\rotor3\ent_area2d_exit_rotor3_task_8.json,.\data\comp3stg\task_8\stator1\ent_area2d_exit_stator1_task_8.json,.\data\comp3stg\task_8\stator2\ent_area2d_exit_stator2_task_8.json,.\data\comp3stg\task_8\stator3\ent_area2d_exit_stator3_task_8.json
.\data\task_9,Design A 90% p2_140000,89.68302,46.26834,Design A,1.636012,0.9,GAC,0.96,163601.2,.\data\comp3stg\task_9\rotor1\Mis_line1d_mid_rotor1_task_9.json,.\data\comp3stg\task_9\rotor2\Mis_line1d_mid_rotor2_task_9.json,.\data\comp3stg\task_9\rotor3\Mis_line1d_mid_rotor3_task_9.json,.\data\comp3stg\task_9\stator1\Mis_line1d_mid_stator1_task_9.json,.\data\comp3stg\task_9\stator2\Mis_line1d_mid_stator2_task_9.json,.\data\comp3stg\task_9\stator3\Mis_line1d_mid_stator3_task_9.json,.\data\comp3stg\task_9\rotor1\ent_area2d_exit_rotor1_task_9.json,.\data\comp3stg\task_9\rotor2\ent_area2d_exit_rotor2_task_9.json,.\data\comp3stg\task_9\rotor3\ent_area2d_exit_rotor3_task_9.json,.\data\comp3stg\task_9\stator1\ent_area2d_exit_stator1_task_9.json,.\data\comp3stg\task_9\stator2\ent_area2d_exit_stator2_task_9.json,.\data\comp3stg\task_9\stator3\ent_area2d_exit_stator3_task_9.json
